Id,String
,
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Item1Type,Weapon
Item2Type,Equip
Item3Type,Weapon
Item4Tpye,Consumable
Character1Name,FirstSon
Character2Name,SecondDaughter
Character3Name,ThirdSon
Character4Name,FourthDaughter
Character1Desc,First Born
Character2Desc,Second Born
Character3Desc,Third Born
Character4Desc,Fourth Born
Character1Attack,Attack : 100
Character2Attack,Attack : 50
Character3Attack,Attack : 25
Character4Attack,Attack : 1
Character1Defense,Defense : 100
Character2Defense,Defense : 50
Character3Defense,Defense : 25
Character4Defense,Defense : 2
NAME,Name       
DESC,Description
TYPE,Type
VALUE,Value
COST,Cost
ATTACK,공격력
DEFENSE,방어력
WEAPON,Weapon
EQUIP,Equipment
CONSUMABLE,Consumable
SAVE,Save
LOAD,Load
ADDITEM,AddItem
REMOVEITEM,RemoveItem
DATEASCEND,Date (Ascend)
DATEDESCEND,Date (Descend)
NAMEASCEND,Name (Ascend)
NAMEDESCEND,Name (Descend)
NONE,None
